#QTD			#SSI				#SSR
6800			0.0490734			0.104908			
13600			0.0979605			0.210731			
20400			0.150401			0.309914			
27200			0.199761			0.420406			
34000			0.25133				0.520217			
40800			0.300825			0.639879			
47600			0.348563			0.74275			
54400			0.39834				0.843635			
61200			0.447527			0.976898			
68000			0.495362			1.09622			
74800			0.548402			1.25587			
81600			0.595892			1.35659			
88400			0.6441				1.52366			
95200			0.693324			1.64699			
102000			0.744332			1.76819			
108800			0.792092			1.9625			
115600			0.841551			2.0184			
122400			0.890164			2.10125			
129200			0.936955			2.24887			
136000			0.987752			2.39923			
142800			1.0374				2.52846			
149600			1.08629				2.69757			
156400			1.1358				2.78023			
163200			1.18619				2.90924			
170000			1.23393				3.09105			
ig
